Item Name,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
live animals,Canada,"1,808.5","1,733.6","1,449.1","1,151.6","1,296.7","1,129.7","1,225.8","1,406.1","1,711.8","2,207.4","1,640.1","1,432.1","1,227.8","1,444.8","1,244.5","1,920.7","2,069.2","1,616.5","1,134.9",560.1,784.3,"1,394.8","1,343.5",995.9,876.9
live animals,Mexico,"1,121.9",635.5,754.5,929.9,881.0,827.0,715.1,584.6,881.7,738.5,508.3,716.9,616.8,522.2,381.0,298.3,475.4,524.2,515.5,541.0,469.9,300.5,407.9,405.3,292.2
live animals,Rest of world,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.3,0.1,0.0,0.1,0.3,0.2,0.6,0.2,0.4,0.0,0.1,0.1
live animals,World,"2,930.3","2,369.1","2,203.6","2,081.6","2,177.7","1,956.8","1,941.0","1,990.8","2,593.6","2,946.0","2,148.5","2,149.1","1,844.6","1,967.3","1,625.6","2,219.0","2,544.7","2,141.0","1,650.6","1,101.7","1,254.4","1,695.7","1,751.4","1,401.3","1,169.2"
"Bovine animals, live",Canada,"1,297.5","1,132.0",859.2,872.7,956.8,797.8,859.3,"1,062.5","1,340.7","1,754.6","1,282.4","1,073.7",847.9,"1,068.1",931.9,"1,427.2","1,411.6","1,032.4",526.2,0.1,361.3,"1,056.5",966.9,680.6,639.0
"Bovine animals, live",Mexico,"1,121.9",635.5,754.5,929.9,881.0,827.0,715.1,584.6,881.7,738.5,508.3,716.9,616.8,522.2,381.0,298.3,475.4,524.2,515.4,541.0,469.9,300.5,407.9,405.3,292.1
"Bovine animals, live",World,"2,419.3","1,767.5","1,613.7","1,802.6","1,837.8","1,624.8","1,574.4","1,647.1","2,222.4","2,493.2","1,790.7","1,790.6","1,464.7","1,590.3","1,312.9","1,725.5","1,887.0","1,556.6","1,041.6",541.0,831.2,"1,357.0","1,374.8","1,085.8",931.1
"Swine, live",Canada,467.1,560.3,551.3,243.2,300.9,288.6,323.7,295.6,333.1,410.3,319.8,316.6,347.8,349.6,285.5,466.7,630.0,558.9,580.8,529.4,389.3,299.5,344.3,290.2,216.1
"Swine, live",World,467.1,560.3,551.4,243.2,300.9,288.7,323.8,295.6,333.1,410.3,319.8,316.6,347.8,349.6,285.5,466.7,630.0,558.9,580.8,529.9,389.3,299.7,344.3,290.3,216.2
"Sheep and goats, live",Canada,1.2,1.9,1.5,0.6,0.8,0.4,0.5,1.6,0.6,0.4,0.3,0.3,1.2,0.1,0.0,0.0,0.0,0.4,0.1,0.0,7.5,12.4,8.4,5.7,5.3
"Sheep and goats, live",World,1.2,1.9,1.5,0.6,0.8,0.4,0.5,1.6,0.6,0.4,0.3,0.3,1.2,0.1,0.0,0.0,0.1,0.4,0.2,0.0,7.7,12.6,8.4,5.7,5.3
Live poultry,Canada,42.7,39.5,37.0,35.0,38.2,42.9,42.2,46.3,37.5,42.1,37.5,41.5,30.9,27.0,27.1,26.8,27.6,24.8,27.9,30.7,26.2,26.4,24.0,19.5,16.5
Live poultry,World,42.7,39.5,37.0,35.1,38.2,43.0,42.3,46.4,37.6,42.1,37.6,41.7,30.9,27.2,27.2,26.9,27.6,25.1,28.0,30.7,26.2,26.4,24.0,19.5,16.5
Bird eggs,Canada,54.2,60.3,45.3,38.3,39.2,37.8,37.6,41.5,54.0,40.0,23.1,24.1,26.8,29.2,18.9,33.0,33.6,20.6,13.0,24.7,14.7,21.1,11.6,10.7,13.4
Bird eggs,United Kingdom,16.9,20.9,19.6,9.7,8.4,6.5,7.6,3.1,2.1,1.4,0.1,1.1,0.0,0.0,0.1,1.9,0.0,0.0,0.1,0.1,0.1,0.5,1.7,0.8,0.6
Bird eggs,Netherlands,15.3,13.6,6.7,0.1,0.6,1.0,6.0,29.2,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.6,0.0,0.6,0.5,0.6,0.3,0.2
Bird eggs,China,8.1,6.8,6.0,7.5,6.9,7.4,8.0,7.6,7.1,6.6,5.0,6.8,5.5,4.3,3.9,5.2,2.9,3.7,2.6,2.8,3.5,3.5,3.4,3.5,3.9
Bird eggs,Thailand,6.8,2.4,3.6,2.9,2.9,3.8,2.4,3.0,2.3,1.9,1.7,1.8,1.1,1.1,1.1,0.8,0.8,0.7,0.7,0.5,0.8,0.6,0.6,0.5,0.7
Bird eggs,Turkey,4.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird eggs,Taiwan,4.0,5.8,5.3,6.3,5.2,4.6,5.4,4.4,4.2,4.0,4.4,4.0,3.5,2.6,2.4,2.3,1.5,1.3,1.5,1.2,0.4,0.3,0.5,0.6,0.6
Bird eggs,Rest of world,18.6,24.1,8.0,11.2,12.0,10.9,7.9,23.4,92.8,8.7,7.4,5.1,4.9,2.7,3.5,4.0,4.1,4.4,2.9,3.3,2.2,1.7,1.4,1.3,1.1
Bird eggs,World,128.8,139.6,94.5,76.0,75.2,72.0,74.9,112.2,178.9,62.6,41.7,42.9,41.8,39.9,29.9,47.4,43.3,31.0,21.4,32.6,22.3,28.2,19.8,17.7,20.5
beverages,Mexico,"6,739.8","6,332.8","5,724.3","4,926.6","4,427.0","4,019.1","3,687.9","3,428.0","3,051.5","2,788.6","2,246.7","2,111.1","1,955.3","1,860.5","1,764.7","1,832.3","1,878.5","1,861.9","1,570.8","1,361.0","1,256.7","1,182.2","1,035.9",889.0,763.7
beverages,Italy,"2,744.7","2,879.2","2,847.3","2,486.8","2,409.1","2,370.7","2,210.5","2,116.0","2,005.4","1,984.7","1,858.5","1,700.2","1,692.5","1,448.7","1,343.6","1,445.8","1,410.8","1,271.5","1,168.0","1,041.8",988.7,827.3,668.8,627.7,581.7
beverages,France,"2,740.0","2,922.2","2,785.9","1,930.7","2,367.6","2,292.1","2,065.4","1,781.5","1,698.0","1,653.9","1,560.0","1,489.0","1,352.3","1,106.8","1,069.3","1,530.0","1,557.5","1,389.3","1,178.4","1,127.0","1,203.6","1,012.5",919.7,"1,011.0","1,120.3"
beverages,Canada,818.2,718.5,656.3,567.5,523.2,425.4,353.3,330.7,290.2,303.3,352.9,378.2,363.1,345.2,302.3,437.1,432.6,488.4,492.9,487.7,533.7,536.7,512.1,493.3,474.7
beverages,Netherlands,705.4,871.2,853.9,905.7,768.8,798.4,816.3,793.6,837.8,792.7,854.1,891.3,889.8,969.1,984.5,"1,196.5","1,337.9","1,129.6",931.0,896.4,906.4,886.9,789.3,735.4,628.3
